customer_id,first_name,last_name,email,country,city
1,Crystal,Molina,crystal.molina@example.com,Congo,Gregoryshire
2,Mark,James,mark.james@example.com,Armenia,Andreaton
3,Evelyn,Adams,evelyn.adams@example.com,Saint Lucia,West Dennis
4,Daniel,Kelly,daniel.kelly@example.com,Antarctica (the territory South of 60 deg S),Raymouth
5,Charles,Page,charles.page@example.com,Pitcairn Islands,Port Ronaldside
6,Devon,Hernandez,devon.hernandez@example.com,Chad,North Alicia
7,Lori,Kelly,lori.kelly@example.com,Turkmenistan,Jennifermouth
8,Gabrielle,Lang,gabrielle.lang@example.com,United States Virgin Islands,Ayalaview
9,Rachel,Peterson,rachel.peterson@example.com,Macao,Amandaberg
10,Rhonda,Rollins,rhonda.rollins@example.com,Samoa,Jimmyfurt
11,Michael,Fry,michael.fry@example.com,Madagascar,Tamichester
12,Lisa,Vega,lisa.vega@example.com,Cape Verde,North Brandy
13,Cynthia,Pollard,cynthia.pollard@example.com,Turkmenistan,Lake Kimberlyborough
14,Caitlin,Morrison,caitlin.morrison@example.com,Malawi,West Haleyburgh
15,Nicholas,Leon,nicholas.leon@example.com,Algeria,West Lisafort
16,Lucas,Lowe,lucas.lowe@example.com,Heard Island and McDonald Islands,Elizabethbury
17,Sandra,Hoffman,sandra.hoffman@example.com,Sweden,Port Melissaburgh
18,Anthony,Day,anthony.day@example.com,Chad,Franklinborough
19,Samuel,Sutton,samuel.sutton@example.com,Estonia,New Dennisfurt
20,George,Alexander,george.alexander@example.com,Austria,Nobleland
21,Dawn,Sullivan,dawn.sullivan@example.com,Djibouti,Williamsville
22,Joseph,Romero,joseph.romero@example.com,Mexico,Kennedyburgh
23,Jerry,Diaz,jerry.diaz@example.com,Gabon,South Casey
24,Casey,Long,casey.long@example.com,Zambia,Hawkinsview
25,Timothy,Olsen,timothy.olsen@example.com,French Polynesia,West Lisa
26,Dillon,Shields,dillon.shields@example.com,Swaziland,New Angelica
27,Adrian,Atkins,adrian.atkins@example.com,Micronesia,Kleinville
28,Sarah,Hansen,sarah.hansen@example.com,Tunisia,Moniquetown
29,John,Jimenez,john.jimenez@example.com,Georgia,Jeffreyfort
30,Michael,Friedman,michael.friedman@example.com,Vanuatu,Christopherport
31,Ashley,Perez,ashley.perez@example.com,Heard Island and McDonald Islands,Valenciaberg
32,Jesse,Boyle,jesse.boyle@example.com,Samoa,Kellerstad
33,Justin,Salazar,justin.salazar@example.com,Switzerland,South Michaelfort
34,Jeremy,Fletcher,jeremy.fletcher@example.com,Niue,Ryanstad
35,Teresa,Saunders,teresa.saunders@example.com,Rwanda,Michellefort
36,Rebecca,Martinez,rebecca.martinez@example.com,Cape Verde,Sarahburgh
37,Sarah,Morgan,sarah.morgan@example.com,Denmark,Lake Patrickfurt
38,Steven,Murray,steven.murray@example.com,Vietnam,Lake Reginald
39,Larry,Hall,larry.hall@example.com,Malaysia,North Thomasfurt
40,Patricia,Perez,patricia.perez@example.com,Jersey,New Kelseychester
41,Clayton,Gonzalez,clayton.gonzalez@example.com,Greece,North Henry
42,Holly,Johnson,holly.johnson@example.com,Zambia,North Patricktown
43,David,Underwood,david.underwood@example.com,Netherlands,North Joyce
44,James,Smith,james.smith@example.com,Ukraine,Jonesburgh
45,Sara,Perez,sara.perez@example.com,Israel,Wellstown
46,Ryan,James,ryan.james@example.com,Serbia,New Stephanietown
47,Brandi,Padilla,brandi.padilla@example.com,Sweden,Ericaberg
48,Caitlin,Davis,caitlin.davis@example.com,Western Sahara,Lake Daletown
49,Heather,Oliver,heather.oliver@example.com,Palestinian Territory,South Jamie
50,Theresa,Flores,theresa.flores@example.com,Italy,New Danielfort
